index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.tagesspiegel.de/gesellschaft/mehr-als-die-halfte-der-jungeren-sorgt-sich-um-zukunft-jetzt-ist-es-noch-schon-auf-der-welt-wer-weiss-wie-lange-noch-10079890.html,https://www.tagesspiegel.de/gesellschaft/mehr-als-die-halfte-der-jungeren-sorgt-sich-um-zukunft-jetzt-ist-es-noch-schon-auf-der-welt-wer-weiss-wie-lange-noch-10079890.html,0,www.tagesspiegel.de,"Mehr als die Hälfte der Jüngeren sorgt sich um Zukunft: „Jetzt ist es noch schön auf der Welt. Wer weiß, wie lange noch“","Klimawandel, Krieg in Europa, Geldsorgen: Einer aktuellen Umfrage zufolge blicken viele 16- bis 25-Jährige pessimistisch auf ihr Leben.",https://www.tagesspiegel.de/images/streikjpg2/alternates/BASE_16_9_W1400/streikjpg.jpeg,2023-07-01T09:57:33Z,https://web.archive.org/web/20230701110524/https://www.tagesspiegel.de/gesellschaft/mehr-als-die-halfte-der-jungeren-sorgt-sich-um-zukunft-jetzt-ist-es-noch-schon-auf-der-welt-wer-weiss-wie-lange-noch-10079890.html,"Die junge Generation in Deutschland macht sich große Sorgen: Einer neuen Umfrage zufolge stimmt mehr als die Hälfte der befragten 16- bis 25-Jährigen der Aussage eindeutig oder eher zu, dass sie sich… [+4737 chars]",,de,'Geldsorgen'
https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https://www.golem.de/news/libjpeg-turbo-jpeg-referenzimplementierung-in-massiven-geldsorgen-2307-175535.html&referer=https://t.co/218456c205,https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https://www.golem.de/news/libjpeg-turbo-jpeg-referenzimplementierung-in-massiven-geldsorgen-2307-175535.html&referer=https://t.co/218456c205,0,www.golem.de,LibJPEG-Turbo: JPEG-Referenzimplementierung in massiven Geldsorgen,"Das weit verbreitete Open-Source-Projekt LibJPEG-Turbo hat kaum finanzielle Unterstützung. Ein vorläufiger Stopp des Projekts ist absehbar. (Softwareentwicklung, Open Source)",,2023-07-04T11:30:03Z,,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]",,de,'Geldsorgen'
