day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,0.0,0.0,0.0,5.0
2022-01-20,1.1546109027946485,1.0,-0.5773502691896258,1.0,1.0
2022-01-28,1.1831772395542604,1.0,-0.6978125637015071,1.0,1.0
2022-02-03,-0.08473422350286608,1.0,1.1007639074231417,1.0,1.0
2022-03-12,1.2831911170445225,1.0,-0.4472135954999579,1.0,1.0
2022-04-04,1.0574309351536906,1.0,1.2396817348124298,1.0,1.0
2022-05-09,0.28780012773692176,1.0,-0.7194251469078723,1.0,1.0
2022-05-10,-0.10779564075217671,1.0,0.7268772905033228,1.0,1.0
2022-05-29,-1.4762826437117353,1.0,1.226081820569525,1.0,1.0
2022-06-07,-1.641149742298055,1.0,1.9199717675882118,1.0,1.0
2022-07-31,0.41677923017359186,1.0,-0.4929745812238978,1.0,1.0
2022-09-07,-1.1359813071345657,1.0,-0.5387182899328574,1.0,1.0
2022-09-20,-0.3915434548838082,0.3580624279325747,0.0030567979292629075,0.9973527353390226,3.0
2022-09-21,-0.23919545534072648,1.0,1.23867908595959,1.0,1.0
2022-09-23,-0.0706876287655357,1.0,-0.5687094919361855,1.0,1.0
2022-09-25,0.44572442746783475,1.0,-0.6532519011164705,1.0,1.0
2022-09-27,0.9308958533950296,1.0,1.050702400857729,1.0,1.0
2022-09-28,1.4224132608649143,1.0,-0.33381401509463154,1.0,1.0
2022-09-30,0.6052296900766578,1.0,1.2088172172805622,1.0,1.0
2022-10-01,-1.4149500405987696,1.0,0.546722980634453,1.0,1.0
2022-10-03,0.05004963440695777,1.0,-0.6366592547365504,1.0,1.0
2022-10-04,0.8679434128193985,0.701111313018467,1.631762883880264,0.453273532091303,2.0
2022-10-05,0.025239578035449777,0.9331955213299402,-0.6649810552648762,0.34619789100100584,3.0
2022-10-06,0.16852456067137347,1.0,0.7505387150653418,1.0,1.0
2022-10-10,-0.3977013564812648,1.0098964747831165,0.6708203932499369,1.5811388300841895,2.0
2022-10-12,0.5537191394073098,0.3458226841201926,-0.0925085805267715,0.74439912083442,4.0
2022-10-13,0.426265542305886,1.0,-0.4472135954999579,1.0,1.0
2022-10-15,-1.1615937968861045,1.0,-0.6504253623895329,1.0,1.0
2022-10-18,-0.07159434387431622,1.0,1.9649192266861644,1.0,1.0
2022-10-19,0.394174882440463,1.0089751196437597,0.31092334584790093,1.457132812425891,2.0
2022-10-20,1.1012851762933147,1.0,-0.7194251469078723,1.0,1.0
2022-10-21,0.44787738316703096,0.9663281611668972,-0.36396163031849,0.4613742192596951,8.0
2022-10-23,1.7313335692014644,1.0,-0.6697005083316442,1.0,1.0
2022-10-24,-0.4289541923289742,0.6911798360085061,-0.2589797924037039,0.3496454208200357,4.0
2022-10-25,-0.23553290619231568,0.7028380653732875,0.23239859149275022,1.0515013445663248,9.0
2022-10-26,-0.16531553259834736,0.49402854781094535,0.05218405741044375,1.1726990476840953,11.0
2022-10-27,0.013547514665456636,0.7998312522486498,-0.03568817587087284,0.9081529890950303,6.0
2022-10-28,0.11018195700313091,1.08743664632206,-0.4428231762495206,0.290832116983848,11.0
