0,1,2,3,4,word,summary
35942.15808153577,-0.5200821620669921,-0.0030380469147373106,-0.0031634281346010515,-0.010879186263089896,summaryOfAllWords,32433.66319279894
-3.5717499378342423,-0.17524841203674066,0.4481449894803881,-0.16247728975781167,-0.13673938204889505,Energie-Preise,2.6961881437135666
-0.708335339377622,1.9976882335903408,0.6665724772881982,-1.089931083527685,-0.6824842917193779,Auch,6.081896029389311
-3.449491352747151,-0.05396918727127487,0.5345037390658998,-0.21580556224003675,-0.18530157990983165,energie-preis auch,2.849148825164348
-3.3825363456670594,0.013282107935076339,0.5779352205917202,-0.24281278048236057,-0.20987545687267511,Azubis,2.9335904580530734
-3.3825363456670594,0.013282107935076327,0.5779352205917209,-0.24281278048235713,-0.20987545687267656,auch azubi,2.9335904580530734
-0.890452754713741,1.563541392400232,-0.2029556991697173,-0.7655602417948645,-0.7669303484036536,sollen,5.743529253888802
-3.2243873761308857,0.1729932952599455,0.6713598642385152,-0.3012438891078755,-0.2629661886717856,azubi soll,3.1342049910037884
0.39928203239083404,3.3047496398729255,1.6039234796992428,-0.8481062969000476,-0.7341953805546746,Heizkostenzuschuss,7.634223251468926
-2.7687714933042553,0.6278671960007541,0.8870591534651668,-0.4369418361884499,-0.38554315106173903,soll heizkostenzuschus,3.7149373329177635
-2.8177270045083893,0.5797653337700991,0.8668578547122511,-0.42424201318199484,-0.37413235979453524,erhalten,3.6525714304614514
-3.449491352747151,-0.05396918727127487,0.534503739065902,-0.21580556224003986,-0.18530157990983068,heizkostenzuschus erhalt,2.849148825164348
-3.5426111356707577,-0.14658833101152302,0.46962324776620873,-0.17569016373708685,-0.14877475774686208,Business,2.732468097389844
-3.5426111356707577,-0.14658833101152302,0.46962324776620873,-0.17569016373708685,-0.14877475774686208,erhalt business,2.732468097389844
-3.5914620809421867,-0.19452470070217798,0.4332736863530945,-0.15334970457921723,-0.12842440912368636,Insider,2.6717194876494963
-3.5914620809421867,-0.19452470070217798,0.4332736863530945,-0.15334970457921723,-0.12842440912368636,business insider,2.6717194876494963
39.141067213576676,19.75712293570062,0.1488142577790213,1.6799826236637465,2.6637015531066504,Die,50.052134876748916
-3.5914620809421867,-0.19452470070217798,0.4332736863530945,-0.15334970457921723,-0.12842440912368636,insider die,2.6717194876494963
-2.5840644132601374,0.6716610576826902,0.6963226993989217,-0.5732501185550168,-0.41963167864148565,Bundesregierung,3.8893688046031114
-3.5717499378342423,-0.17524841203673527,0.4481449894803934,-0.16247728975774078,-0.13673938204893946,die bundesregierung,2.6961881437135666
-3.067393884617223,0.33125943522320134,0.753437995803788,-0.3528383500646758,-0.3097193756091809,plant,3.3342067658130436
-3.449491352747151,-0.05396918727127487,0.534503739065902,-0.21580556224003986,-0.18530157990983068,bundesregierung plan,2.849148825164348
-2.5861309700664035,0.8052580226830912,0.957526179922819,-0.4811200657695766,-0.42510264465697656,offenbar,3.947245818335496
-3.3658734246513013,0.03007210830764944,0.5883608006941711,-0.24931213143907463,-0.21578644498973196,plan offenbar,2.954660547048552
-2.7687714933042553,0.6278671960007541,0.8870591534651668,-0.4369418361884499,-0.38554315106173903,offenbar heizkostenzuschus,3.7149373329177635
-3.449491352747151,-0.05396918727127487,0.534503739065902,-0.21580556224003986,-0.18530157990983068,auszuweiten,2.849148825164348
-3.449491352747151,-0.05396918727127487,0.534503739065902,-0.21580556224003986,-0.18530157990983068,heizkostenzuschus ausweit,2.849148825164348
10.2974731598167,6.587886863457671,1.2538789452283081,0.9704592619349728,1.4975645888299813,Menschen,18.251766143758488
-3.581950055717653,-0.1852350539535998,0.44048488052864104,-0.15777356426010206,-0.13245449036156684,auch mensch,2.683518889845757
-3.6309867269353453,-0.23285945965741453,0.4025866436118019,-0.13457083064584233,-0.11131605563781848,Berufsausbildung,2.622858997296202
-3.6309867269353453,-0.23285945965741453,0.4025866436118019,-0.13457083064584233,-0.11131605563781848,mensch berufsausbildung,2.622858997296202
-3.678343132631043,-0.27813190054174763,0.3642060004648497,-0.11119435047077163,-0.0900183072283784,berufsausbildung soll,2.5647187175509742
-2.3901769210539636,0.32180916314261376,-0.19586238066954956,0.25359317873182813,-0.44182607398337886,davon,4.024901023569089
-3.693301926291031,-0.2922587365945167,0.35169735904385374,-0.10360317654197285,-0.08310236653214817,soll davon,2.5464559209003506
-3.7046522376503246,-0.30291594403873756,0.34207803789664487,-0.09777484910761626,-0.07779262257945502,profitieren,2.5326342640048476
-3.7046522376503246,-0.30291594403873756,0.34207803789664487,-0.09777484910761626,-0.07779262257945502,davon profitier,2.5326342640048476
10.223041187443485,7.239258072274644,0.11203204249827445,-0.3443868765368224,-0.3051412285637024,nan,18.14479003763252
-1.031731710766806,2.1858820711179248,1.3689578540323752,-0.7274546883329327,-0.6389031937299127,Energiepreise,5.891038327909252
4.828281520441019,4.240052444319473,0.6438079058805003,-0.7195944838559998,0.5657958133707129,Wie,12.1774235607016
-3.7930470468542543,-0.3837648169533165,0.26314918042760926,-0.05027031605702768,-0.03452444038957886,energiepreis wie,2.426191669490683
-0.2868378071025634,2.2069010333442027,-0.8286939147859154,0.927404555327664,-1.1183644850404058,Deutschlands,6.604180153259717
-3.790325434204108,-0.38134017496520384,0.26569090977623516,-0.05179104334933596,-0.035909186270739045,wie deutschland,2.429433723250053
-3.7807626269243455,-0.37278496238144543,0.27456326784003743,-0.057104210624058266,-0.04074748756446659,Nachbarn,2.4408444143230925
-3.7807626269243455,-0.37278496238144543,0.27456326784003743,-0.057104210624058266,-0.04074748756446659,deutschland nachbar,2.4408444143230925
